CUSEC,CUMUN,CSEC,CDIS,CMUN,CPRO,CCA,CUDIS,CLAU2,NPRO,NCA,CNUT0,CNUT1,CNUT2,CNUT3,NMUN,year,net_income_avg,net_income_avg_household,gini,p80_p20
0800101007,08001,007,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2016,12484,34311,26.2,2.3
0800101007,08001,007,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2015,12104,33375,27.2,2.4
0800602001,08006,001,02,006,08,09,0800602,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2018,12463,30350,32.1,2.7
0800602001,08006,001,02,006,08,09,0800602,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2017,12201,29866,33.1,2.8
0800602001,08006,001,02,006,08,09,0800602,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2016,11422,28334,35.4,3
0800602001,08006,001,02,006,08,09,0800602,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2015,11134,27901,35.3,3.2
0800602002,08006,002,02,006,08,09,0800602,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2018,13679,33934,32.5,3.1
0800602002,08006,002,02,006,08,09,0800602,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2017,13415,32861,33.6,2.9
0800602002,08006,002,02,006,08,09,0800602,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2016,12763,31616,34.3,3
0800602002,08006,002,02,006,08,09,0800602,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2015,12138,30195,36.1,3.3
0800901006,08009,006,01,009,08,09,0800901,08009,Barcelona,Cataluña,ES,5,1,1,Argentona,2018,17234,55004,33,2.6
0800901006,08009,006,01,009,08,09,0800901,08009,Barcelona,Cataluña,ES,5,1,1,Argentona,2017,14536,40419,32.5,2.6
0800901006,08009,006,01,009,08,09,0800901,08009,Barcelona,Cataluña,ES,5,1,1,Argentona,2016,14165,39700,33,2.8
0800901006,08009,006,01,009,08,09,0800901,08009,Barcelona,Cataluña,ES,5,1,1,Argentona,2015,13619,38266,33.2,2.7
0801001001,08010,001,01,010,08,09,0801001,08010,Barcelona,Cataluña,ES,5,1,1,Artés,2018,12619,32888,25.2,2.2
0801001001,08010,001,01,010,08,09,0801001,08010,Barcelona,Cataluña,ES,5,1,1,Artés,2017,12495,32646,26,2.3
0801001001,08010,001,01,010,08,09,0801001,08010,Barcelona,Cataluña,ES,5,1,1,Artés,2016,11734,30573,28,2.4
0801001001,08010,001,01,010,08,09,0801001,08010,Barcelona,Cataluña,ES,5,1,1,Artés,2015,11015,28863,28.7,2.6
0801002001,08010,001,02,010,08,09,0801002,08010,Barcelona,Cataluña,ES,5,1,1,Artés,2018,14300,36886,24.2,2.2
0801002001,08010,001,02,010,08,09,0801002,08010,Barcelona,Cataluña,ES,5,1,1,Artés,2017,13666,35799,25,2.2
0801002001,08010,001,02,010,08,09,0801002,08010,Barcelona,Cataluña,ES,5,1,1,Artés,2016,13131,34656,24.8,2.1
0801002001,08010,001,02,010,08,09,0801002,08010,Barcelona,Cataluña,ES,5,1,1,Artés,2015,12595,33359,25.1,2.3
0801501008,08015,008,01,015,08,09,0801501,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2018,NA,NA,NA,NA
0801501008,08015,008,01,015,08,09,0801501,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2017,18408,44150,30.4,2.5
0801501008,08015,008,01,015,08,09,0801501,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2016,18647,45068,31.5,2.5
0801501008,08015,008,01,015,08,09,0801501,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2015,19294,46955,32.3,2.6
0800501003,08005,003,01,005,08,09,0800501,08005,Barcelona,Cataluña,ES,5,1,1,"Ametlla del Vallès, L'",2018,19808,59903,36.3,2.9
0800501003,08005,003,01,005,08,09,0800501,08005,Barcelona,Cataluña,ES,5,1,1,"Ametlla del Vallès, L'",2017,18393,56124,34.7,2.9
0800501003,08005,003,01,005,08,09,0800501,08005,Barcelona,Cataluña,ES,5,1,1,"Ametlla del Vallès, L'",2016,17581,53209,35.1,2.8
0800501003,08005,003,01,005,08,09,0800501,08005,Barcelona,Cataluña,ES,5,1,1,"Ametlla del Vallès, L'",2015,16903,50645,36.1,3.1
0800702002,08007,002,02,007,08,09,0800702,08007,Barcelona,Cataluña,ES,5,1,1,Arenys de Munt,2018,12348,31969,29.8,2.5
0800702002,08007,002,02,007,08,09,0800702,08007,Barcelona,Cataluña,ES,5,1,1,Arenys de Munt,2017,11849,30697,31.1,2.8
0800702002,08007,002,02,007,08,09,0800702,08007,Barcelona,Cataluña,ES,5,1,1,Arenys de Munt,2016,11540,29616,32.6,2.8
0800702002,08007,002,02,007,08,09,0800702,08007,Barcelona,Cataluña,ES,5,1,1,Arenys de Munt,2015,11185,29053,31.9,2.7
0800901001,08009,001,01,009,08,09,0800901,08009,Barcelona,Cataluña,ES,5,1,1,Argentona,2018,19936,57607,35.7,2.4
